Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Louise Bourgeois,1911,2010,"Modern Art, Surrealism, Feminist Art","Sculptor, Painter, Printmaker, Installation Art",Female,"French, American"
Louise Nevelson,1899,1988,Modern Art,Sculptor,Female,American
Luc Tuymans,1958,,Contemporary Art,Painter,Male,
Lucas Samaras,1936,,Contemporary Art,"Photographer, Sculptor, Printmaker",Male,Greek
Lucia Fairchild Fuller,1872,1924,,Painter,Female,American
Lucian Freud,1922,2011,Modern Art,Painter,Male,British
Lucie Rie,1902,1995,,"Potter, Ceramicist",Female,British
Lucien Levy-Dhurmer,1865,1953,"Symbolism, Art Nouveau","Painter, Ceramicist",Male,French
Lucio Fontana,1899,1968,"Modern Art, Arte Povera","Painter, Sculptor",Male,Italian
Luigi Lucioni,1900,1988,,"Painter, Printmaker",Male,"Italian, American"
Luis Molinari,1929,1994,"Modern Art, Latin Constructivism, Op Art",Painter,Male,Ecuadorian
Lydia Venieri,1964,,Contemporary Art,"Painter, Sculptor, Photographer",Female,
Lygia Clark,1920,1988,Contemporary Art,"Painter, Installation Art",Female,
Lynda Benglis,1941,,Contemporary Art,Sculptor,Female,
"Lyonel Feininger, Lyonel Charles Feininger",1871,1956,"Modern Art, Expressionism, Cubism, Blaue Reiter, Die Brucke, Berlin Secession, Novembergruppe","Painter, Cartoonist, Photographer",Male,"German, American"
M. C. Escher,1898,1972,"Modern Art, Mathematical Art","Illustrator, Printmaker",Male,Dutch
Maggie Siner,,,Contemporary Art,Painter,Female,
Magnus Wallin,1965,,Contemporary Art,Video Art,Male,
Mahonri Mackintosh Young,1877,1957,"Ashcan School, Social Realism",Sculptor,Male,American
Malvina Cornell Hoffman,1885,1966,Modern Art,Sculptor,Female,American
"Man Ray, Man Ray (Emmanuel Radnitzky)",1890,1976,"Modern Art, Dadaism, Surrealism","Photographer, Painter, Assemblage, Collagist",Male,American
Manfred Kielnhofer,1967,,Contemporary Art,"Sculptor, Photographer",Male,
Manierre Dawson,1887,1969,"Modern Art,",Painter,Male,American
Manolo Millares,1926,1972,Modern Art,Painter,Male,Spanish
Manuel Neri,1930,,"Modern Art, Bay Area Figurative Movement",Sculptor,Male,American
Manuel Rend—n,1894,1982,"Modern Art, Latin Constructivism",Painter,Male,Uruguayan
Marc Chagall,1887,1985,"Modern Art, Cubism, Expressionism",Painter,Male,"Russian, French"
Marc Quinn,1964,,Contemporary Art,Sculptor,Male,
Marcel Broodthaers,1924,1976,"Modern Art, Conceptual Art","Sculptor, Poet, Installation Art",Male,Belgian
Marcel Duchamp,1887,1968,"Modern Art, Cubism, Dadaism, Conceptual Art","Painter, Sculptor, Filmmaker",Male,"French, American"
Margaret Bogardus,,,,,Female,American
Maria Lassnig,1919,2014,Contemporary Art,Painter,Female,
Marianne Brandt,1893,1983,"Bauhaus, Modern Art","Painter, Sculptor, Photographer, Designer",Female,German
Marie Zimmermann,1879,1972,,Jeweler,Female,American
Marina Abramovic,1946,,Contemporary Art,Performance Art,Female,
Marino Marini,1901,1980,Modern Art,Sculptor,Male,Italian
Mario Merz,1925,2003,"Modern Art, Arte Povera","Sculptor, Painter",Male,Italian
Marion Caroline Hoffman Hartman,,,,,Female,American
"Marisol, Marisol (Marisol Escobar)",1930,2016,"Modern Art, Pop Art",Sculptor,Female,French
Mark Bradford,1961,,Contemporary Art,Painter,Male,
Mark di Suvero,1933,,Contemporary Art,Sculptor,Male,
Mark Kostabi,1960,,Contemporary Art,Painter,Male,
Mark Lewis,1958,,Contemporary Art,"Installation Art, Filmmaker, Video Art",Male,
Mark Rothko,1903,1970,"Modern Art, Abstract Expressionism, Color Field Painting",Painter,Male,American
Mark Tansey,1949,,Contemporary Art,Painter,Male,
Mark Titchner,1973,,Contemporary Art,Painter,Male,
Mark Tobey,1890,1976,"Modern Art, Abstract Expressionism",Painter,Male,American
Mark Wallinger,1959,,Contemporary Art,Conceptual Art,Male,
Markus Oehlen,1956,,Contemporary Art,Painter,Male,
Markus Schinwald,1973,,Contemporary Art,"Painter, Sculptor, Filmmaker",Male,
Marlene Dumas,1953,,Contemporary Art,Painter,Female,
Marsden Hartley,1877,1943,Modern Art,Painter,Male,American
Martha Rosler,1943,,Contemporary Art,"Video Art, Installation Art, Performance Art",Female,
Martin Creed,1968,,Contemporary Art,Installation Art,Male,
Martin Eder,1968,,Contemporary Art,Painter,Male,
Martin Johnson Heade,1819,1904,"Luminism, Hudson River School",Painter,Male,American
Martin Kippenberger,1953,1997,Contemporary Art,"Conceptual Art, Installation Art",Male,
Martin Puryear,1941,,Contemporary Art,Sculptor,Male,
Mary Cassatt,1844,1926,"Modern Art, Impressionism","Painter, Printmaker",Female,American
Mary Kelly,1941,,Contemporary Art,Conceptual Art,Female,
Mat Collishaw,1966,,Contemporary Art,"Photographer, Video Art",Male,
Mather Brown,1761,1831,,Painter,Male,American
Matilda Auchincloss Brownell,1871,1966,,Painter,Female,American
Matthew Barney,1967,,Contemporary Art,Filmmaker,Male,
Matthew Harris Jouett,1788,1827,,Painter,Male,American
Matthew Pratt,1734,1805,,Painter,Male,American
Matthieu Laurette,1970,,Contemporary Art,"Multimedia, Conceptual Art, Installation Art, Video Art",Male,
Maurice Benayoun,1957,,Contemporary Art,New Media Art,Male,
Maurice Brazil Prendergast,1858,1924,Post-Impressionism,Painter,Male,American
Maurice de Vlaminck,1876,1958,"Modern Art, Fauvism",Painter,Male,French
Maurice Denis,1870,1943,"Symbolism, Les Nabis",Painter,Male,French
Maurizio Cattelan,1960,,Contemporary Art,"Sculptor, Installation Art",Male,
Max Beckmann,1884,1950,"Modern Art, New Objectivity, German Expressionism","Painter, Printmaker, Sculptor",Male,German
Max Ernst,1981,1976,"Modern Art, Dadaism, Surrealism","Painter, Sculptor, Poet",Male,German
Max Weber,1881,1961,"Modern Art, Cubism",Painter,Male,American
Maxfield Parrish,1870,1966,Neoclassicism,Painter,Male,American
Melvin Edwards,1937,,,Sculptor,Male,American
Merce Cunningham,1919,2009,Modern Art,Dance,Male,American
Meret Oppenheim,1913,1985,"Modern Art, Surrealism",Sculptor,Female,Swiss
Michael Borremans,1963,,Contemporary Art,Painter,Male,
Michael Craig-Martin,1941,,Contemporary Art,"Painter, Printmaker, Digital Art, Sculptor",Male,
Michael Goldberg,1924,2007,"Modern Art, Abstract Expressionism",Painter,Male,American
Michael Heizer,1944,,"Contemporary Art, Land Art",Sculptor,Male,American
Michael Landy,1963,,Contemporary Art,Conceptual Art,Male,
Michael Snow,1929,,Contemporary Art,"Filmmaker, Video Art, Musician, Painter",Male,
Michel Parmentier,1938,2000,"Modern Art, Minimalism",Painter,Male,French
Michelangelo Pistoletto,1933,,Contemporary Art,Painter,Male,
Mike Kelley,1954,2012,Contemporary Art,"Sculptor, Installation Art, Performance, Art",Male,
Mikulas Medek,1926,1974,Modern Art,Painter,Male,Czech
Milovan Destil Markovic,1957,,Contemporary Art,"Painter, Performance Art",Male,
Milton Avery,1885,1965,Modern Art,Painter,Male,American
Minnie Evans,1892,1987,,Mixed Media,Female,American
Mino Argento,1927,,"Modern Art, Abstract Expressionism, Lyrical Abstraction, Geometric Abstraction, Minimalism, Impressionism","Painter, Architect",Male,Italian
Mira Schendel,1919,1988,Modern Art,"Painter, Poet, Sculptor",Female,Brazilian
Mona Hatoum,1952,,Contemporary Art,Performance Art,Female,
Monika Weiss,1964,,Contemporary Art,"Installation Art, Video Art, Performance Art",Female,
"Moritz Furst, Moritz Fuerst",1782,1840,,Sculptor,Male,American
Morris Hirshfield,,,,,Male,
Morris Louis,1912,1962,"Modern Art, Color Field Painting, Abstract Expressionism",Painter,Male,American
Moses B. Russell,,,,,Male,American
Nadezhda Udaltsova,1885,1961,"Modern Art, Cubism, Suprematism",Painter,Female,Russian
Nadir Afonso,1920,2013,"Modern Art, Geometric Abstraction, Kinetic Art, Op Art","Painter, Architect",Male,Portuguese
Nam June Paik,1932,2006,"Modern Art, Fluxus","Video Art, Performance Art, Installation Art",Male,"Korean, American"
Nan Goldin,1953,,Contemporary Art,Photographer,Female,
Nancy Graves,1939,1995,Modern Art,"Painter, Sculptor, Printmaker",Female,American
Nancy Spero,1926,2009,Contemporary Art,Painter,Female,
Natalia Goncharova,1881,1962,Modern Art,"Painter, Costume Designer, Illustrator",Female,Russian
Nathan Altman,1889,1970,"Modern Art, Cubism","Painter, Stage Designer",Male,Russian
Nathan Oliveira,1928,2010,Modern Art,"Painter, Printmaker, Sculptor",Male,American
Naum Gabo,1890,1977,"Modern Art, Constructivism","Sculptor, Kinetic Art",Male,Russian
Neith Nevelson,1946,,Modern Art,Painter,Female,American
Nelson Cook,1808,1892,,Painter,Male,American
Neo Rauch,1960,,Contemporary Art,Painter,Male,
Nicholas Biddle Kittell,,,,,Male,American
Nicholas Krushenick,1929,1999,"Modern Art, Pop Art, Op Art, Color Field Painting, Minimalism, Abstract Expressionism",Painter,Male,American
Nicholas Roerich,1874,1947,Modern Art,Painter,Male,Russian
Nick Cave,1959,,Contemporary Art,"Performance Art, Sculptor",Male,
Nicolas Carone,1917,2010,Contemporary Art,"Painter, Sculptor",Male,
Nicolas de Stael,1914,1955,Modern Art,Painter,Male,French
Nicolas Enriquez,,,,,Male,American
Niki de Saint Phalle,1930,2002,Modern Art,"Painter, Sculptor, Filmmaker",Female,French
Niles Spencer,,,,,Male,
Nina Genke-Meller,1893,1954,"Modern Art, Suprematism, Russian-Futurism",,Female,Russian
Nobuyoshi Araki,1940,,Contemporary Art,Photographer,Male,
Norman Bel Geddes,1893,1958,,Industrial Designer,Male ,American
Norman Bluhm,1921,1999,"Modern Art, Abstract Expressionism, Action Painting",Painter,Male,American
Norman Carlberg,1928,,"Modern Art, Modular Constructivism","Sculptor, Printmaker",Male,American
Norman Rockwell,1894,1978,,"Painter, Illustrator",Male,American
"Norman Wilfred Lewis, Norman Lewis",1909,1979,"Abstract Expressionism, Modern Art",Painter,Male,American
Nuno de Campos,1969,,Contemporary Art,Painter,Male,
O. Louis Guglielmi,,,,,Male,
Odd Nerdrum,1944,,Contemporary Art,Painter,Male,
Olafur Eliasson,1967,,Contemporary Art,,Male,
Olga Rozanova,1886,1918,"Modern Art, Suprematism, Neo-Primitivism",Painter,Female,Russian
Olin Levi Warner,1844,1896,,Sculptor,Male,American
Oliver Payne,1979,,Contemporary Art,Video Art,Male,
On Kawara,1949,,Contemporary Art,Conceptual Art,Male,
Orlan,1947,,Contemporary Art,"Performance Art, Body Art",Female,
Oskar Kokoschka,1886,1980,"Modern Art, Expressionism","Painter, Printmaker",Male,Austrian
Oskar Schlemmer,1888,1943,"Modern Art, Bauhaus","Painter, Sculptor",Male,German
Oswaldo Guayasamin,1919,1999,Modern Art,"Painter, Sculptor",Male,Ecuadorian
Oswaldo Viteri,1931,,Modern Art,"Assemblage, Painter, Printmaker",Male,Ecuadorian
Otto Boetticher,,,,,Male,American
Otto Dix,1891,1969,Modern Art,"Painter, Printmaker",Male,German
Oyvind Fahlstrom,1928,1976,Contemporary Art,Multimedia,Male,
Pablo Picasso,1881,1973,"Modern Art, Cubism, Surrealism","Painter, Sculptor, Mixed Media, Printmaker",Male,Spanish
Pablo Serrano,1908,1985,Modern Art,Sculptor,Male,Spanish
Paola Pivi,1971,,Contemporary Art,Multimedia Art,Female,
Pat Steir,1940,,Contemporary Art,Painter,Female,
Patrick Hennessy,1915,1980,"Modern Art, Realism",Painter,Male,Irish
Patrick Henry Bruce,1881,1936,"Modern Art, Cubism",Painter,Male,American
Patrick Heron,1920,1999,"Modern Art, Figurativism",Painter,Male,British
Patrick Swift,1927,1983,Modern Art,Painter,Male,Irish
Paul Cadmus,1904,1999,"Modern Art, Magic Realism",Painter,Male,American
Paul Cezanne,1839,1906,"Modern Art, Post-Impressionism",Painter,Male,French
Paul Feeley,1910,1966,"Modern Art, Color Field Painting",Painter,Male,American
Paul Gauguin,1848,1903,"Modern Art, Post-Impressionism, Primitivism","Painter, Sculptor, Ceramicist",Male,French
Paul Klee,1879,1940,"Modern Art, Bauhaus, Surrealism","Painter, Printmaker",Male,"Swiss, German"
"Paul Manship, Paul Howard Manship",1885,1966,Art Deco,Sculptor,Male,American
Paul McCarthy,1945,,Contemporary Art,"Performance Art, Installation Art",Male,
Paul Signac,1863,1935,"Modern Art, Post-Impressionism, Pointillism",Painter,Male,French
Paul T. Frankl,1886,1958,Art Deco,"Furniture Designer, Architect",Male,"Austrian, American"
Paul Thek,1933,1988,Modern Art,"Painter, Sculptor, Installation Art",Male,American
Paul Wayland Bartlett,1865,1925,Beaux-Arts,Sculptor,Male,American
Pavel Filonov,1883,1941,Modern Art,Painter,Male,Russian
Peggy Ahwesh,1954,,Contemporary Art,Video Art,Female,
Peter Behrens,1868,1940,Modern Art,"Architect, Designer",Male,German
Peter Blume,1906,1992,"Folk Art, Surrealism, Cubism, Precisionism",Painter,Male,American
Peter Doig,1959,,Contemporary Art,Painter,Male,
Peter Fischli and David Weiss,"1952, 1946",2012,Contemporary Art,,Male,
Peter Forakis,1927,2009,Contemporary Art,Sculptor,Male,
Peter Golfinopoulos,1928,,Contemporary Art,Painter,Male,
Peter Howson,1958,,Contemporary Art,Painter,Male,
Peter Max,1937,,"Modern Art, Pop Art","Painter, Graphic Designer",Male,American
Peter Muller-Munk,,,,,Male,
Peter Reginato,1945,,Modern Art,"Sculptor, Painter",Male,American
Peter Voulkos,1924,2002,Contemporary Art,"Ceramicist, Sculptor",Male,
Peter Young,1940,,"Modern Art, Abstract Expressionism, Post-Minimalism, Lyrical Abstraction",Painter,Male,American
Philip Guston,1913,1980,"Modern Art, Abstract Expressionism, Social Realism","Painter, Printmaker",Male,American
Pierce Francis Connelly,,,,,Male,American
Piero Manzoni,1933,1963,"Modern Art, Arte Povera",Conceptual Art,Male,Italian
Pierre Alechinsky,1927,,"Modern Art, Cobra, Abstract Expressionism, Lyrical Abstraction","Painter, Printmaker",Male,Belgian
Pierre Bonnard,1867,1947,"Modern Art, Post-Impressionism",Painter,Male,French
Pierre Huyghe,1962,,Contemporary Art,,Male,
Pierre Soulages,1919,,Contemporary Art,Painter,Male,
Pierre-Adrien Dalpayrat,,,Art Nouveau,,Male,
"Pierre-Auguste Renoir, Auguste Renoir",1841,1919,"Modern Art, Impressionism",Painter,Male,French
Piet Mondrian,1872,1944,"Modern Art, De Stijl",Painter,Male,Dutch
Pipilotti Rist,1962,,Contemporary Art,Video Art,Female,
Prince Demah Barnes,,,,,,American
Rachel Khedoori,1964,,Contemporary Art,"Mixed Media, Sculptor",Female,"Iraqi, Australian"
Rachel Whiteread,1963,,Contemporary Art,Sculptor,Female,
Rafael Lozano-Hemmer,1967,,Contemporary Art,Installation Art,Male,
Ralle,1949,,Contemporary Art,Painter,Male,
Ralph Albert Blakelock,1847,1919,"Modern Art, Romanticism",Painter,Male,American
"Ralph E. W. Earl, Ralph Eleaser Whiteside Earl",1785,1938,,Painter,Male,American
Ralph Earl,1751,1801,,Painter,Male,American
Ralph Hotere,1931,2013,Modern Art,"Sculptor, Installation Art",Male,"New Zealand, Maori"
Randolph Rogers,1825,1892,Neoclassicism,Sculptor,Male,American
Raoul Hausmann,1886,1971,"Modern Art, Dadaism","Collagist, Photographer, Sculptor",Male,Austrian
Raphaelle Peale,1774,1825,,Painter,Male,American
Ray Johnson,1927,1995,"Modern Art, Mail Art, Fluxus, Neo-Dada, Pop Art","Collagist, Mixed Media",Male,American
"Ray Metzker, Ray K. Metzker",1931,2014,,Photographer,Male,American
Ray Parker,1922,1990,"Modern Art, Abstract Expressionism",Painter,Male,American
Raymond Pettibon,1957,,Contemporary Art,"Video Art, Installation Art, Drawing",Male,
Raymond Saunders,1934,,Contemporary Art,Painter,Male,
Red Grooms,1937,,"Modern Art, Pop Art","Sculptor, Mixed Media",Male,American
Rembrandt Peale,1778,1860,Neoclassicism,Painter,Male,American
Rene Iche,1897,1954,"Modern Art, Surrealism",Sculptor,Male,French
Rene Magritte,1898,1967,"Modern Art, Surrealism",Painter,Male,Belgian
"Rene-Jules Lalique, Rene Lalique",1860,1945,Art Nouveau,"Glass Designer, Sculptor",Male,French
Reuben Haley,,,,,Male,
Reuben Moulthrop,1763,1814,,Painter,Male,American
Richard Artschwager,1923,2013,Contemporary Art,"Sculptor, Painter",Male,
Richard Avedon,1923,2004,,Photographer,Male,American
Richard Deacon,1949,,Contemporary Art,Sculptor,Male,
Richard Diebenkorn,1922,1993,"Modern Art, Bay Area Figurative Movement, Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Richard Edwin Brooks,1865,1919,,Sculptor,Male,American
Richard Hamilton,1922,2011,"Modern Art, Pop Art","Collagist, Painter",Male,British
Richard Jackson,1939,,Contemporary Art,"Painter, Installation Art",Male,
Richard Lindner,1901,1978,,Painter,Male,"German, American"
Richard Lippold,1915,2002,Modern Art,Sculptor,Male,American
Richard Long,1945,,Contemporary Art,"Sculptor, Photographer, Painter",Male,
Richard Pousette-Dart,1916,1992,"Modern Art, Abstract Expressionism",Painter,Male,American
Richard Prince,1949,,Contemporary Art,"Painter, Photographer",Male,
Richard Serra,1938,,"Modern Art, Minimalism","Land Art, Process Art, Sculptor",Male,American
Richard Tuttle,1941,,"Modern Art, Post-Minimalism","Painter, Sculptor, Installation Art",Male,American
Richard William Hubbard,,,,,Male,American
Richard Wilson,1953,,Contemporary Art,Installation Art,Male,
Rineke Dijkstra,1959,,Contemporary Art,Photographer,Female,
Rirkrit Tiravanija,1961,,Contemporary Art,"Conceptual Art, Installation Art",Male,
Rita Ackermann,1968,,Contemporary Art,,Female,
"Robert Ball Hughes, Ball Hughes",1804,1868,,Sculptor,Male,American
Robert Barry,1936,,Modern Art,Conceptual Art,Male,American
Robert Brownjohn,1925,1970,,Graphic Designer,Male,American
Robert Colescott,1925,,Contemporary Art,Painter,Male,
Robert Delaunay,1885,1941,"Modern Art, Divisionism, Cubism, Orphism",Painter,Male,French
Robert Feke,1705,1752,,Painter,Male,American
Robert Filliou,1926,1987,"Modern Art, Fluxus","Filmmaker, Poet",Male,French
Robert Frank,1924,,,Photographer,Male,American
Robert Gober,1954,,Contemporary Art,Sculptor,Male,
Robert Goodnough,1917,2010,"Modern Art, Abstract Expressionism, Color Field Painting",Painter,Male,American
Robert Graham,1938,2008,Contemporary Art,Sculptor,Male,
Robert Henri,1865,1929,Ashcan School,Painter,Male,American
Robert Indiana,1928,,"Modern Art, Pop Art",Painter,Male,American
Robert J Brawley,1937,2006,Contemporary Art,Painter,Male,
Robert Lazzarini,1965,,Contemporary Art,"Sculptor, Installation Art",Male,
Robert Loftin Newman,1827,1912,,Painter,Male,American
Robert Longo,1953,,Contemporary Art,"Painter, Sculptor",Male,
Robert Mangold,1937,,"Modern Art, Minimalism","Painter, Printmaker",Male,American
Robert Mapplethorpe,1946,1989,Contemporary Art,Photographer,Male,
Robert Morris,1931,,Contemporary Art,"Sculptor, Writer, Conceptual Art",Male,
Robert Motherwell,1915,1991,"Modern Art, Abstract Expressionism",Painter,Male,American
Robert Peckham,,,,,Male,American
Robert Petschow,1888,1945,,Photographer,Male,German
Robert Rauschenberg,1925,2008,"Modern Art, Neo-Dada, Abstract Expressionism","Assemblage, Collagist, Sculptor",Male,American
Robert Reid,1862,1929,American Impressionism,"Painter, Muralist",Male,American
Robert S. Duncanson,1821,1872,"Hudson River School, Landscape Painting",Painter,Male,American
Robert Salmon,1775,1845,"Marine Painting, Luminism",Painter,Male,American
Robert Smithson,1938,1973,Modern Art,Land Art,Male,American
"Robert Spencer, Robert Carpenter Spencer",1879,1931,American Impressionism,Painter,Male,American
Robert Swain Gifford,1840,1905,Landscape Painting,Painter,Male,American
"Robert Tait McKenzie, R. Tait McKenzie, Robert Tate MacKenzie, R. Tate MacKenzie",1867,1938,,Sculptor,Male,American
Robert Venturi,1925,,,Architect,Male,American
"Robert W. Vonnoh, Robert Vonnoh, Robert William Vonnoh",1858,1933,American Impressionism,Painter,Male,American
Robert Walter Weir,1803,1889,"Realism, Hudson River School",Painter,Male,American
Robert Watts,1923,1988,"Modern Art, Fluxus","Sculptor, Conceptual Art, Performance Art",Male,American
Robert Winthrop Chanler,1872,1930,,Painter,Male,American
Roberto Matta,1911,2002,"Modern Art, Surrealism",Painter,Male,Chilean
Rockwell Kent,1882,1971,,"Painter, Printmaker",Male,American
Rodney Graham,1949,,Contemporary Art,"Photographer, Installation Art",Male,
Roger de la Fresnaye,1885,1925,Cubism,Painter,Male,French
Roman Opalka,1931,2011,Contemporary Art,Painter,Male,
Romare Bearden,1911,1988,"Modern Art, Harlem Renaissance",Painter,Male,American
Ron Herron,1930,1994,,Architect,Male,British
Ronald Bladen,1918,1988,Contemporary Art,Sculptor,Male,
Ronald Davis,1937,,"Modern Art, Abstract Expressionism, Geometric Abstraction, Lyrical Abstraction, Color Field Painting, Digital Art",Painter,Male,American
Roni Horn,1955,,Contemporary Art,"Sculptor, Installation Art",Female,
Ronnie Landfield,1947,,"Modern Art, Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Rosemarie Trockel,1952,,Contemporary Art,Installation Art,Female,
Roxy Paine,1966,,Contemporary Art,Sculptor,Female,
Roy Ascott,1934,,Contemporary Art,New Media Art,Male,
Roy DeCarava,1919,2009,,"Photographer, Painter",Male,American
Roy Lichtenstein,1923,1997,"Modern Art, Pop Art","Painter, Sculptor",Male,American
Roy Newell,1914,2006,Modern Art,Painter,Male,American
Rufus Hathaway,1770,1822,Folk Art,Painter,Male,American
Rupert Carabin,1862,1932,Art Nouveau,"Cabinet Maker, Photographer, Sculptor",Male,French
Russel Wright,1904,1976,,Industrial Designer,Male,American
Ruth Asawa,1926,2013,Modern Art,Sculptor,Female,American
Ryan McGinley,1977,,Contemporary Art,Photographer,Male,
Saint Clair Cemin,1951,,Contemporary Art,Sculptor,Male,
Sally Sheinman,1949,,Modern Art,Installation Art,Female,American
Salvador Dali,1904,1989,"Modern Art, Cubism, Surrealism, Dadaism","Painter, Sculptor, Photographer, Filmmaker",Male,Spanish
Sam Dillemans,1965,,Contemporary Art,Painter,Male,
Sam Francis,1923,1994,"Modern Art, Abstract Expressionism","Painter, Printmaker",Male,American
Sam Gilliam,1933,,"Modern Art, Color Field Painting, Lyrical Abstraction, Abstract Expressionism",Painter,Male,American
Sam Taylor-Wood,1967,,Contemporary Art,"Filmmaker, Photographer",Female,
Samuel Aloysious Murray,,,,,Male,American
Samuel Colman,1832,1920,Hudson River School,Painter,Male,American
"Samuel F. B. Morse, Samuel Morse, Samuel Finley Breese Morse",1791,1872,,Painter,Male,American
Samuel Halpert,1884,1930,Modern Art,Painter,Male,American
Samuel Jennings,,,,,Male,American
Samuel Lovett Waldo,1783,1861,,Painter,Male,American
Sanford Robinson Gifford,1823,1880,"Landscape Painting, Luminism",Painter,Male,American
Sarah Lucas,1962,,Contemporary Art,"Photographer, Sculptor, Conceptual Art",Female,
Sarah Sze,1969,,Contemporary Art,Sculptor,Female,
Saskia Holmkvist,1971,,Contemporary Art,Conceptual Art,Female,
Scott Treleaven,1975,,Contemporary Art,Filmmaker,Male,
Sebastian Diaz,1975,,Contemporary Art,Video Art,Male,
Seraphin Soudbinine,1867,1944,Modern Art,Sculptor,Male,Russian
Seund Ja Rhee,1918,2009,Contemporary Art,"Painter, Printmaker, Ceramicist",Female,
Severin Roesen,,,,Painter,Male,American
Seymour Joseph Guy,1824,1910,Genre Painting,Painter,Male,American
Sharon Hayes,1970,,Contemporary Art,,Female,American
Shirin Neshat,1957,,Contemporary Art,,Female,
Shirley Jaffe,1923,2016,,Painter,Female,French
Shobal Vail Clevenger,1812,1843,,Sculptor,Male,American
Shomei Tomatsu,1930,2012,,Photographer,Male,Japanese
Siah Armajani,1939,,Contemporary Art,Sculptor,Male,
Sid Grossman,1913,1955,,Photographer,Male,American
Sigfrid Wagner,,,,,Male,
Sigmar Polke,1941,2010,Contemporary Art,"Painter, Photographer",Male,
Simon Patterson,1967,,Contemporary Art,Conceptual Art,Male,
Slaven Tolj,1964,,Contemporary Art,"Performance Art, Installation Art",Male,
Sol LeWitt,1928,2007,"Modern Art, Minimalism","Painter, Sculptor, Conceptual Art",Male,American
Solomon Nikritin,1898,1965,"Modern Art, Constructivism",Painter,Male,Ukrainian
Solon Hannibal Borglum,1868,1922,,Sculptor,Male,American
Sonia Delaunay,1885,1979,"Modern Art, Orphism",Painter,Female,"Ukrainian, French"
Sophie Calle,1953,,Contemporary Art,Conceptual Art,Female,
Stacy Tolman,,,,,,American
Stanley Matthew Mitruk,1922,2006,Modern Art,Painter,Male,American
Stanley Mouse,1940,,,"Graphic Designer, Printmaker",Male,American
Stanton MacDonald-Wright,1890,1973,"Modern Art, Synchromism",Painter,Male,American
Stanya Kahn,1968,,Contemporary Art,"Performance Art, Video Art",Female,
Stephen Finer,1949,,Contemporary Art,Painter,Male,
Stephen Greene,1917,1999,"Modern Art, Abstract Expressionism, Color Field Painting, Surrealism",Painter,Male,American
Steve McQueen,1969,,Contemporary Art,Filmmaker,Male,
Steven Pippin,1960,,Contemporary Art,Sculptor,Male,
Stuart Brisley,1933,,Contemporary Art,Performance Art,Male,
Stuart Davis,1892,1964,Modern Art,Painter,Male,American
Sughra Rababi,1922,1994,Modern Art,Painter,Female,Pakistani
Suling Wang,1968,,Contemporary Art,Painter,Female,
Susan Hiller,1940,,Contemporary Art,Installation Art,Female,
Susan Macdowell Eakins,1851,1938,,Painter,Female,American
Susan Rothenberg,1945,,"Modern Art, Contemporary Art",Painter,Female,American
Suzanne Lacy,1945,,Contemporary Art,"Performance Art, Public Art",Female,
Tacita Dean,1965,,Contemporary Art,"Conceptual Art, Filmmaker",Female,
Tadanori Yokoo,1936,,"Modern Art, Pop Art","Painter, Printmaker",Male,Japanese
Takashi Murakami,1962,,Contemporary Art,"Sculptor, Painter",Male,
Taro Yamamoto,1919,1994,"Modern Art, Abstract Expressionism",Painter,Male,American
Teddy Cruz,1962,,,Architect,Male,Guatemalan
Teiji Furuhashi,1960,1995,Contemporary Art,"Installation Art, Multimedia",Male,Japanese
Teresita Fernandez,1968,,Contemporary Art,,Female,
Terry Winters,1949,,Contemporary Art,Painter,Male,American
Theo Constante,1934,2014,Modern Art,Painter,Male,Ecuadorian
Theo van Doesburg,1883,1931,"Modern Art, De Stijl, Concrete Art, Dadaism","Painter, Architect, Poet",Male,Dutch
Theodor Kaufmann,,,,,Male,American
Theodore Robinson,1852,1896,Impressionism,Painter,Male,American
Theodoros Stamos,1922,1997,"Modern Art, Abstract Expressionism",Painter,Male,"Greek, American"
Thom Merrick,1963,,Contemporary Art,"Sculptor, Painter",Male,
Thomas Anshutz,1851,1912,,Painter,Male,American
Thomas Ball,1819,1911,,Sculptor,Male,American
Thomas Chambers,,,,,Male,American
Thomas Cole,1801,1848,"Historical Painting, Landscape Painting, Hudson River School",Painter,Male,American
Thomas Crawford,1814,1857,,Sculptor,Male,American
Thomas Doughty,1793,1856,"Hudson River School, Landscape Painting",Painter,Male,American
Thomas Eakins,1844,1916,Realism,Painter,Male,American
Thomas Hart Benton,1889,1975,"Modern Art, American Modernism, American Realism, Synchronism, Social Realism, Regionalism",Painter,Male,American
Thomas Hewes Hinckley,,,,,Male,American
Thomas Hicks,,,,,Male,American
Thomas Hirschhorn,1957,,Contemporary Art,Installation Art,Male,
Thomas Hovenden,1840,1895,,Painter,Male,American
Thomas Jacobson,,,,,Male,American
Thomas Lanigan-Schmidt,1948,,Contemporary Art,"Installation Art, Collagist",Male,
Thomas Le Clear,1818,1882,,Painter,Male,American
Thomas Moran,1837,1926,"Hudson River School, Landscape Painting","Painter, Printmaker",Male,American
Thomas Ruff,1958,,Contemporary Art,Photographer,Male,
Thomas Schutte,1954,,Contemporary Art,Sculptor,Male,
